year,cell,wage_lower,wage_upper,n_workers,n_workers_mtr,avg_wages,total_wages,avg_mtr_iit,avg_mtr_iit_wtd
2033,$650k-$700k,650000,7e+05,186288.750496525,186288.750496525,674995.707740141,125744106985.428,0.351851911673997,0.351876974545908
2033,$700k-$750k,7e+05,750000,159461.766556801,159461.766556801,725360.246692358,115667226327.64,0.352914356082055,0.35291716207034
2033,$750k-$800k,750000,8e+05,94744.526414065,94744.526414065,774649.378108244,73393788465.8156,0.358320806764386,0.358380097146233
2033,$800k-$850k,8e+05,850000,87205.7097354271,87205.7097354271,823835.178611523,71843131455.8302,0.360893401211705,0.360871168411625
2033,$850k-$900k,850000,9e+05,83471.2462233921,83471.2462233921,874199.938546051,72970558318.8516,0.36085181036662,0.360914437228563
2033,$900k-$950k,9e+05,950000,90666.6210988097,90666.6210988097,924773.271921782,83846067847.6387,0.365744270801395,0.365774182047073
2033,$950k-$1000k,950000,1e+06,76347.8816068281,76347.8816068281,974571.701279093,74406484866.6213,0.363511004440475,0.363593154230412
2033,$1M+,1e+06,Inf,519280.449975851,519280.449975851,2348998.96730815,1219789240736.59,0.366465787501512,0.366312367473773
2033,All workers,0,Inf,165046107.815674,165046107.815674,93689.2581769377,15463047406241.4,0.150044688206198,0.231197770668941
2034,$0k-$20k,0,20000,27898031.2108819,27898031.2108819,8703.15912527329,242801004910.145,0.0138605112567628,0.0226558888965916
2034,$20k-$40k,20000,40000,25108184.8389867,25108184.8389867,28343.620167865,711656854180.786,0.105391212821872,0.110275122774844
2034,$40k-$60k,40000,60000,23539879.2040613,23539879.2040613,51045.3814814665,1201602113998.95,0.15682242446982,0.157181405727747
2034,$60k-$80k,60000,80000,23117801.7387527,23117801.7387527,69750.7605213317,1612484252859.36,0.149135332156433,0.149315160625807
2034,$80k-$100k,80000,1e+05,17360940.1981473,17360940.1981473,89426.0971307577,1552521124440.79,0.197459008487587,0.197232455366691
2034,$100k-$120k,1e+05,120000,11009809.801821,11009809.801821,109721.451949512,1208012317143.77,0.20098070486606,0.2010866696294
2034,$120k-$140k,120000,140000,8277623.716046,8277623.716046,129613.948542213,1072895494383.39,0.203714697377448,0.203806245367451
2034,$140k-$160k,140000,160000,6159327.30185348,6159327.30185348,149457.155104837,920555535894.573,0.215241833419996,0.215450655247298
2034,$160k-$180k,160000,180000,4589046.64014463,4589046.64014463,169313.936969527,776989553579.67,0.235574197335228,0.235590992822034
2034,$180k-$200k,180000,2e+05,2263702.59709902,2263702.59709902,189044.925439575,427941488685.957,0.239998831156496,0.240009842201109
2034,$200k-$220k,2e+05,220000,2706439.65027336,2706439.65027336,210365.191393332,569340695024.258,0.262845524727939,0.26245800062119
2034,$220k-$240k,220000,240000,2686251.89938979,2686251.89938979,229713.959643447,617069560408.559,0.26456581999389,0.263754978877131
2034,$240k-$260k,240000,260000,1940105.80476936,1940105.80476936,249065.549002068,483213517386.979,0.24921012284856,0.24935224150399
2034,$260k-$280k,260000,280000,1483883.80693614,1483883.80693614,269335.822433892,399663065537.481,0.271379461223233,0.271417244015778
2034,$280k-$300k,280000,3e+05,1128269.20185618,1128269.20185618,290148.436957232,327365545385.554,0.282876359966131,0.282983049703209
2034,$300k-$320k,3e+05,320000,883341.712796229,883341.712796229,310633.891558097,274395873821.487,0.290449530879764,0.290552984374973
2034,$320k-$340k,320000,340000,605343.633055136,605343.633055136,329335.654565153,199361241629.061,0.287571023994069,0.287708956980626
2034,$340k-$360k,340000,360000,567505.438359624,567505.438359624,350121.140826247,198695651503.571,0.298015554283836,0.298062249938636
2034,$360k-$380k,360000,380000,455835.379311429,455835.379311429,369274.805179031,168328520888.938,0.290134264741006,0.290188554691229
2034,$380k-$400k,380000,4e+05,304707.886760476,304707.886760476,389775.110490551,118767550229.407,0.287584339890724,0.287540309365805
2034,$400k-$420k,4e+05,420000,250946.851452019,250946.851452019,410372.703358206,102981737829.595,0.278556960543614,0.278554930120001
2034,$420k-$440k,420000,440000,278316.074223354,278316.074223354,429974.421919835,119668793125.184,0.274525500957452,0.274518720517018
2034,$440k-$460k,440000,460000,212439.003382241,212439.003382241,449514.3132796,95494372719.1708,0.278375055980979,0.278434950290818
2034,$460k-$480k,460000,480000,188597.790802069,188597.790802069,470164.636300635,88672011719.5582,0.287098151570212,0.287112332525231
2034,$480k-$500k,480000,5e+05,159799.750790744,159799.750790744,490021.669539164,78305340674.4228,0.287372466750769,0.287418447530919
2034,$500k-$550k,5e+05,550000,381002.046588211,381002.046588211,524146.762251644,199700989130.461,0.316752567651576,0.316960402647664
2034,$550k-$600k,550000,6e+05,276934.401436754,276934.401436754,573504.410142314,158823100544.1,0.330429212090359,0.330535780735248
2034,$600k-$650k,6e+05,650000,226978.068277928,226978.068277928,623388.755593041,141495575530.69,0.339556888114078,0.339670072118775
