model,state,year,n,match_15,match_100,share_both_zero,mean_abs_diff,median_abs_diff,p90_abs_diff,p99_abs_diff,mean_signed,n_clean,match_15_clean,match_100_clean
policyengine,NV,2024,1531,1,1,1,0,0,0,0,0,358,1,1
taxsim,NY,2017,20513,0.3251109052795788,0.41398137766294546,0.09525666650416809,14296.356104468085,254.8451536603989,10166.27005678677,370989.3849126073,14043.3195619523,13458,0.447763412096894,0.5135235547629663
taxsim,NY,2018,20515,0.40516695101145506,0.4944187180112113,0.09207896660979772,12183.358685040032,109.99640030050432,7443.131852792244,286259.69656718546,11851.87218248261,13504,0.558649289099526,0.6114484597156398
taxsim,NY,2019,20514,0.396168470312957,0.4851808521010042,0.09179097201910892,12374.946409859556,123.29924106477216,7997.108366577032,306941.61999875767,12056.664271608612,13433,0.5544554455445545,0.6077570163031341
taxsim,NY,2020,20513,0.4021352313167259,0.49227319260956465,0.08916296982401405,12283.044073404431,111.37,7269.859835834568,301630.70392348815,11933.396060803649,13070,0.555087987758225,0.609946442234124
policyengine,NY,2021,1536,0.19205729166666663,0.2936197916666667,0.0625,50320.77367356453,384.0876882130853,19173.34577007545,1133251.0511174132,-25070.139235837527,269,0.6022304832713755,0.6988847583643123
policyengine,NY,2022,1530,0.28169934640522876,0.3588235294117647,0.07124183006535947,39900.47319300315,295.3244498804054,25729.75878073886,771417.657611523,-9003.44402928581,317,0.7728706624605678,0.832807570977918
policyengine,NY,2023,1533,0.06979778212654925,0.14938030006523156,0,66726.90355466175,464.6138125321368,34731.25550795241,1048254.4130352364,16129.451814867476,357,0.11204481792717089,0.15966386554621848
policyengine,NY,2024,1531,0.2651861528412802,0.3435662965382103,0.0581319399085565,58277.74456662981,308.3181846641528,32264.01320689917,901133.612486183,-17805.237514561857,364,0.739010989010989,0.7967032967032966
taxsim,SC,2017,20513,0.3695705162579827,0.4025739774776971,0.22770925754399648,21216.28899312893,361.79319324485914,18707.35332622324,488628.84401671647,20225.998034814256,13458,0.4229454599494724,0.4579432307920939
taxsim,SC,2018,20515,0.406970509383378,0.4599073848403607,0.2457713867901535,6965.235420261014,180.42,5249.919507721608,146928.21630998695,-1198.3515793680378,13504,0.47326718009478674,0.5263625592417062
taxsim,SC,2019,20514,0.41074388222677194,0.46022228721848496,0.2485132104903968,7179.496474255043,192.25307691748552,5370.191709437995,159587.99330877405,-1698.1748748673665,13433,0.47904414501600534,0.5284002084418968
taxsim,SC,2020,20513,0.4065226929264369,0.4558085116755228,0.2432116218983084,8370.73893162919,196.04680105904117,6349.937240361102,177960.65108861338,-1268.352837484985,13070,0.4742157612853864,0.5240244835501148
policyengine,SC,2021,1536,0.23567708333333337,0.2545572916666667,0.23502604166666663,37412.79937453327,821.1046031406477,14908.727061577423,960252.3407844834,-20892.076341072163,269,0.516728624535316,0.5241635687732342
policyengine,SC,2022,1530,0.31437908496732025,0.369281045751634,0.2222222222222222,35542.921722061335,338.29867244555567,16296.49199611866,1003075.9439136236,-10555.979413918494,316,0.7784810126582279,0.8164556962025317
