state,age_band,income_tier,n_units,year
MT,75p,neg_zero,564,2022
MT,75p,1_10k,6091,2022
MT,75p,10_25k,4425,2022
MT,75p,25_50k,115,2022
NC,18_25,neg_zero,221115,2022
NC,18_25,1_10k,209776,2022
NC,18_25,10_25k,72961,2022
NC,18_25,25_50k,568,2022
NC,26_34,neg_zero,61865,2022
NC,26_34,1_10k,73725,2022
NC,26_34,10_25k,54221,2022
NC,26_34,25_50k,1743,2022
NC,35_44,neg_zero,44173,2022
NC,35_44,1_10k,55670,2022
NC,35_44,10_25k,48535,2022
NC,35_44,25_50k,1177,2022
NC,45_54,neg_zero,39237,2022
NC,45_54,1_10k,46010,2022
NC,45_54,10_25k,40703,2022
NC,45_54,25_50k,2697,2022
NC,55_64,neg_zero,37094,2022
NC,55_64,1_10k,67724,2022
NC,55_64,10_25k,59103,2022
NC,55_64,25_50k,1698,2022
NC,65_74,neg_zero,14594,2022
NC,65_74,1_10k,51450,2022
NC,65_74,10_25k,65221,2022
NC,65_74,25_50k,2426,2022
NC,75p,neg_zero,10381,2022
NC,75p,1_10k,42284,2022
NC,75p,10_25k,48552,2022
NC,75p,25_50k,1169,2022
ND,18_25,neg_zero,10115,2022
ND,18_25,1_10k,16802,2022
ND,18_25,10_25k,8087,2022
ND,26_34,neg_zero,2091,2022
ND,26_34,1_10k,2764,2022
ND,26_34,10_25k,2324,2022
